﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
River_GroveOak_FloodedGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_FloodedGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_Greenfalls_SpecialDurability3.CardStatName,Foraging,觅食
River_GroveOak_Greenfalls_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_GroveOak_Greenfalls_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_Greenfalls_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_MossyBank_SpecialDurability3.CardStatName,Foraging,觅食
River_GroveOak_MossyBank_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_GroveOak_MossyBank_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_MossyBank_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_MuddyBank_SpecialDurability3.CardStatName,Foraging,觅食
River_ThicketOak_MuddyBank_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_ThicketOak_MuddyBank_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_MuddyBank_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_RiverConfluence_SpecialDurability3.CardStatName,Foraging,觅食
River_ThicketOak_RiverConfluence_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_ThicketOak_RiverConfluence_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_RiverConfluence_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_ShadyBank_SpecialDurability3.CardStatName,Foraging,觅食
River_ThicketOak_ShadyBank_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_ThicketOak_ShadyBank_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ThicketOak_ShadyBank_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_GreenTangle_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_GreenTangle_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_GreenTangle_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_GreenTangle_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_LostWoods_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_LostWoods_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_LostWoods_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_LostWoods_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_MuddyThicket_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_MuddyThicket_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_MuddyThicket_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_MuddyThicket_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_MuddyWay_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_MuddyWay_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_MuddyWay_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_MuddyWay_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_WhisperingThicket_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_WhisperingThicket_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_WhisperingThicket_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_WhisperingThicket_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_WildThicket_SpecialDurability3.CardStatName,Foraging,觅食
ThicketOak_WildThicket_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ThicketOak_WildThicket_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ThicketOak_WildThicket_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
Path_FmTheShaftFromRockyGrove_CardDescription,A dark and mysterious hole.,黑暗神秘的洞穴。
Imp_MudHutExpansionLeft_CardDescription,Adds an additional room to your hut.,给你的泥屋加一个额外房间。
Imp_MudHutExpansionRight_CardDescription,Adds an additional room to your hut.,给你的泥屋加一个额外房间。
LargeTreeFelled_UsageDurability.CardStatName,Cut,砍倒进程
NettleStems_FuelCapacity.CardStatName,Wetness,湿度
NettleStemsLocation_FuelCapacity.CardStatName,Wetness,湿度
OakTreeLarge_Progress.CardStatName,Cut,砍倒进程
PineTreeLarge_Progress.CardStatName,Cut,砍倒进程
RyePlantedGrowing_CardDescription,"Bought from traders; needs medium to high acidity, low to medium  hydration and low to medium nutrients. Increases soil structure.\n\nEdible grain, long lasting and useful for making bread and beer.",从商人处购得；需要中高酸度、中低湿度和中等养分。能改善土质。\n\n持久耐储的可食用谷物，可制作面包和啤酒。
RyeStalksFresh_SpoilageTime.OnZero.ActionDescription,Rye Stalks dried!,黑麦秆干了！
ChickenChick_Progress.CardStatName,Stress,压力
ClayBowlUnfired_SpecialDurability1.OnFull.ActionDescription,Clay Bowl fired.,陶碗烧好了。
ClayCauldronUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
ClayCauldronUnfired_SpecialDurability1.OnFull.ActionDescription,Clay Cauldron fired.,粘土大锅烧好了。
ClayJarUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
ClayJarUnfired_SpecialDurability1.OnFull.ActionDescription,Clay Jar fired.,小陶罐烧好了。
ClayPlateUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
ClayPlateUnfired_SpecialDurability1.OnFull.ActionDescription,Clay Plate fired.,陶盘烧好了。
ClayStoragePotUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
ClayStoragePotUnfired_SpecialDurability1.OnFull.ActionDescription,Storage Pot fired.,储物罐烧好了。
ClayVaseUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
ClayVaseUnfired_SpecialDurability1.OnFull.ActionDescription,Clay Vase fired.,陶罐烧好了。
CookingPotUnfired_SpecialDurability1.CardStatName,Fired,烧制进度
CookingPotUnfired_SpecialDurability1.OnFull.ActionDescription,Cooking Pot fired.,烹饪锅烧好了。
Sieve_CardName,Sieve,筛子
Sieve_CardDescription,A useful device for mass producing clay.,用于大规模生产黏土的有用装置。
Carcass_BadgerCarcass_DismantleActions[0].ActionName,Release the Spirit,释放精魄
SpiritMushroomsFresh_UsageDurability.OnFull.ActionDescription,Spirit Mushrooms dried!,灵魂菇干了！
AppleweedFresh_UsageDurability.OnFull.ActionDescription,Appleweed dried!,柰草干了！
BillberriesFermenting_UsageDurability.OnFull.ActionDescription,Billberries dried!,越橘干了！
BillberriesFresh_UsageDurability.OnFull.ActionDescription,Billberries dried!,越橘干了！
FairyweedFresh_UsageDurability.OnFull.ActionDescription,Fairyweed dried!,仙灵草干了！
FirerootCutFresh_UsageDurability.OnFull.ActionDescription,Fireroot dried!,火根干了！
FishMeatRaw_UsageDurability.OnFull.ActionDescription,Fish Meat dried!,鱼肉干了！
ForestCapsFresh_UsageDurability.OnFull.ActionDescription,Forest Caps dried!,森伞菇干了！
MeatRaw_UsageDurability.OnFull.ActionDescription,Meat dried!,肉干了！
PeasFresh_UsageDurability.OnFull.ActionDescription,Peas dried!,豌豆干了！
SpringberriesFermenting_UsageDurability.OnFull.ActionDescription,Springberries dried!,春莓干了！
SpringberriesFresh_UsageDurability.OnFull.ActionDescription,Springberries dried!,春莓干了！
TurnrootFresh_UsageDurability.OnFull.ActionDescription,Turnroot dried!,翻根干了！
WildGarlicFresh_UsageDurability.OnFull.ActionDescription,Garlic dried!,野蒜干了！
BillberriesRoasted_UsageDurability.OnFull.ActionDescription,Billberries dried!,越橘干了！
FirerootRoasted_UsageDurability.OnFull.ActionDescription,Fireroot dried!,火根干了！
FishMeatCooked_UsageDurability.OnFull.ActionDescription,Fish Meat dried!,鱼肉干了！
ForestCapsCooked_UsageDurability.OnFull.ActionDescription,Forest Caps dried!,森伞菇干了！
MeatCooked_UsageDurability.OnFull.ActionDescription,Meat dried!,肉干了！
SpringberriesRoasted_UsageDurability.OnFull.ActionDescription,Springberries dried!,春莓干了！
TurnrootRoasted_UsageDurability.OnFull.ActionDescription,Turnroot Dried,翻根干了
WildGarlicCooked_UsageDurability.OnFull.ActionDescription,Wild Garlic dried!,野蒜干了
ClayJar_Fermenter_CardName,Clay Jar,小陶罐
ClayJar_Fermenter_CardDescription,"A small sealed container, ideal for preserving spices, medicines and dried powders in general.",一个小型密封容器，非常适合用于保存香料、药物和粉末。
ClayJar_Fermenter_CardInteractions[0].ActionName,Add Flowers,加入花瓣
ClayJar_Fermenter_DismantleActions[0].ActionName,Collect Rain,收集雨水
ClayJar_Fermenter_CookingRecipes[0].ActionName,Ferment,发酵
ClayPlate_SpecialDurability2.CardStatName,Quality,品质
ColdTar_FuelCapacity.OnFull.ActionDescription,Tar heated up.,加热焦油
SnowPile_SpoilageTime.OnZero.ActionDescription,Snow Pile melted.,雪堆融化了。
WoodBurning_SpoilageTime.CardStatName,Burning Hole,烫一个洞
FurCured_CardInteractions[0].ActionName,Trim,修剪
FurLeather_SpecialDurability2.CardStatName,Quality,品质
SkinLeather_FuelCapacity.CardStatName,Freshness,新鲜度
FishingLine_Rustic_DismantleActions[0].ActionName,Dismantle,拆解
LQ_Fairybrew_CardName,Fairybrew,仙酿
LQ_Fairybrew_CardDescription,"Lowers fever, pain, stress and wakefulness, while slightly altering your mind state.",减轻你的发热、疼痛、压力，降低清醒度，同时略微让你更容易陷入精神失常状态。
LQ_Fairybrew_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_Fairybrew_Progress.CardStatName,Saturation,厌倦度
LQ_Fairybrew_SpecialDurability1.CardStatName,Fairyweed Effect,仙灵草效果
LQ_Fairybrew_SpecialDurability3.CardStatName,Fairyweed Sleepiness,仙灵草睡意
LQ_Fairybrew_SpecialDurability4.CardStatName,Activity,活性
LQ_Fairybrew_CardInteractions[0].ActionName,Add Fairyweed,加入仙灵草
LQ_Fairybrew_CardInteractions[0].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Fairybrew_CardInteractions[0].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Fairybrew_CardInteractions[1].ActionName,Add Appleweed,加入柰草
LQ_Fairybrew_CardInteractions[1].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Fairybrew_CardInteractions[1].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Fairybrew_CardInteractions[2].ActionName,Add Fireroot,加入火根
LQ_Fairybrew_CardInteractions[2].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Fairybrew_CardInteractions[2].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Fairybrew_CardInteractions[3].ActionName,Add Frostleaf,加入霜叶
LQ_Fairybrew_CardInteractions[3].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Fairybrew_CardInteractions[3].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Fairybrew_DismantleActions[0].ActionName,Drink,饮用
LQ_Fairybrew_DismantleActions[1].ActionName,Stir,搅拌
LQ_Fairybrew_CookingRecipes[0].ActionName,Absorb
LQ_Firebrew_CardName,Firebrew,火酿
LQ_Firebrew_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_Firebrew_Progress.CardStatName,Saturation,厌倦度
LQ_Firebrew_SpecialDurability1.CardStatName,Fireroot Effect,火根效果
LQ_Firebrew_SpecialDurability3.CardStatName,Fireroot Toxicity,火根中毒
LQ_Firebrew_SpecialDurability4.CardStatName,Activity,活性
LQ_Firebrew_CardInteractions[0].ActionName,Add Fireroot,加入火根
LQ_Firebrew_CardInteractions[0].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Firebrew_CardInteractions[0].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Firebrew_CardInteractions[1].ActionName,Add Appleweed,加入柰草
LQ_Firebrew_CardInteractions[1].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Firebrew_CardInteractions[1].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Firebrew_CardInteractions[2].ActionName,Add Frostleaf,加入霜叶
LQ_Firebrew_CardInteractions[2].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Firebrew_CardInteractions[2].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Firebrew_CardInteractions[3].ActionName,Add Fairyweed,加入仙灵草
LQ_Firebrew_CardInteractions[3].RequiredReceivingDurabilities.SpecificFailMessages[0].Message,The mixture is too thick...,混合物太浓稠了......
LQ_Firebrew_CardInteractions[3].RequiredReceivingDurabilities.SpecificFailMessages[1].Message,Not hot enough...,温度还不够......
LQ_Firebrew_DismantleActions[0].ActionName,Drink,饮用
LQ_Firebrew_DismantleActions[1].ActionName,Stir,搅拌
LQ_Firebrew_CookingRecipes[0].ActionName,Absorb
LQ_Firewater_CardName,Firewater,火根水
LQ_Firewater_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness. Can also serve as an insecticide.",增加体温，增强免疫系统、耐力和警觉度。也可以用作杀虫剂。
